,country,countryCode,reviewTitle,reviewedIn,reviewReaction,reviewDescription,ratingScore,date,Sentiment Scores
0,India,,Good,Reviewed in India on 10 April 2023,One person found this helpful,over good performance,4,2023-04-10,0.4404
1,India,,Decent phone with some drawbacks,Reviewed in India on 15 March 2023,26 people found this helpful,pros fast processor playing games using multiple appsbattery super good light usage lasts days heavy usage lasts hourslightweight good lookscons camera doesn have good capture pixels break dark using flashthe camera specs cannot used with optical zoom disappointmentthe display amoled refresh rate like type phones this price should have been better,4,2023-03-15,0.9571
2,India,,Good product,Reviewed in India on 3 April 2023,One person found this helpful,valueof money,4,2023-04-03,0.0
3,India,,📷 Best,Reviewed in India on 4 April 2023,6 people found this helpful,battery waaa,4,2023-04-04,0.0
4,India,,Not Fully Optimized,Reviewed in India on 24 March 2023,9 people found this helpful,performance phone average often there slight opening photos deleting them display quality anyway average daily normal usage phone good battery great overall seems over price compared what offers,4,2023-03-24,0.7906
5,India,,"Absolute Beast, Low budget, Daily Usage",Reviewed in India on 30 January 2023,70 people found this helpful,purchased this phone glowing blue storage around exchanging redmi poco with hdfc bank offer here pros cons pros feel very light with nice grip when held hand display good with battery comes around days would drop more used extensively excellent connectivity with carrier aggregation enabled supervooc charging full charge happens sound quality loud crystal clear very satisfying case quality good cover edges well have purchase cover touch screen finger print sensor face unlock works smoothly quite fast extended upto good amazing customizable your convenience cons front camera performance could have been better think update would gonna notch display doesn have separate slot bloat wares installed,4,2023-01-30,0.9842
6,India,,Good,Reviewed in India on 23 March 2023,3 people found this helpful,,4,2023-03-23,0.0
7,India,,Good phone,Reviewed in India on 19 March 2023,3 people found this helpful,nice look great phone,4,2023-03-19,0.7845
8,India,,Super,Reviewed in India on 17 March 2023,3 people found this helpful,good,4,2023-03-17,0.4404
9,India,,Excellent performance,Reviewed in India on 12 March 2023,7 people found this helpful,phone better under cost instead other brands suggestionif want purchase phone then definitely purchase this phone,4,2023-03-12,0.7096
10,India,,Oppo A78,Reviewed in India on 10 April 2023,,very good mobile price battery backup hours thanks amazone,5,2023-04-10,0.7264
11,India,,Best product,Reviewed in India on 13 April 2023,,camera future best,5,2023-04-13,0.6369
12,India,,Quality & price,Reviewed in India on 11 April 2023,2 people found this helpful,good quality product best price india,5,2023-04-11,0.7964
13,India,,nice phone in this budget,Reviewed in India on 11 April 2023,,nice phone this budget,5,2023-04-11,0.4215
14,India,,Daily used good,Reviewed in India on 15 February 2023,9 people found this helpful,daily used good,4,2023-02-15,0.4404
15,India,,Poor Camera + Light Weight+ Dimensity 700,Reviewed in India on 8 March 2023,3 people found this helpful,good phone best works airtel camerano videono supportscreen unnoticable display good gets whole charge,3,2023-03-08,0.875
16,India,,USA mobile not working,Reviewed in India on 23 March 2023,,hello team have purchased this mobile last month only which network mobile only supporting india number,5,2023-03-23,0.4939
17,India,,Best phone this price range,Reviewed in India on 9 April 2023,,best phone this price range,5,2023-04-09,0.6369
18,India,,It is totally waste of money it always hangs. Slide doesn't work properly,Reviewed in India on 27 March 2023,,totally waste money,3,2023-03-27,-0.4754
19,India,,Ok,Reviewed in India on 6 February 2023,2 people found this helpful,,4,2023-02-06,0.0
20,India,🇮🇳,Excellent back up device,Reviewed in India 🇮🇳 on 5 April 2023,,wish phone basic personal then this amazing battery backup crystal clear speakers amazing connectivity camera okay looking good connectivity device then this pick remember said backup device professionals primary device basic users decent pick gamers just falls into your budget,5,2023-04-05,0.959
21,India,🇮🇳,Quality of phone,Reviewed in India 🇮🇳 on 7 April 2023,,have been using thos phone days that price high according phone picture quality very should noticed oppo management,3,2023-04-07,0.0
22,India,🇮🇳,Nice phone except price.,Reviewed in India 🇮🇳 on 2 February 2023,10 people found this helpful,everything good price more compare specifications display amoled camara good excellent battery back awasome looking better price below than surely gave star rating,4,2023-02-02,0.936
23,India,🇮🇳,Value for money.,Reviewed in India 🇮🇳 on 18 February 2023,11 people found this helpful,good product camera also good cons some unnecessary apps installed which delete,4,2023-02-18,0.7003
24,India,🇮🇳,Good,Reviewed in India 🇮🇳 on 17 February 2023,4 people found this helpful,nice phone,4,2023-02-17,0.4215
25,India,🇮🇳,Mobile is good,Reviewed in India 🇮🇳 on 8 February 2023,5 people found this helpful,seller supplied brand packing from manufacturer have used mobile week good this budget price,4,2023-02-08,0.4404
26,India,🇮🇳,Battery capacity Good,Reviewed in India 🇮🇳 on 24 February 2023,9 people found this helpful,very good mobile,4,2023-02-24,0.4927
27,India,🇮🇳,Nice 👍 product,Reviewed in India 🇮🇳 on 9 April 2023,,smart phone very smart ligght weight,3,2023-04-09,0.6597
28,India,🇮🇳,Decent,Reviewed in India 🇮🇳 on 5 April 2023,,very decent phone,3,2023-04-05,0.0
29,India,🇮🇳,Value for Money,Reviewed in India 🇮🇳 on 4 April 2023,,good part good battery lifebad part observed heating issues times,5,2023-04-04,0.7003
30,India,,Worst phone Dont buy,Reviewed in India on 21 March 2023,,this oppo mobile very worst mobile terms camera quality display contacted amazon customer care report issues related quality even listen wordings they telling repeatedly that they will take this issue will support once sold,1,2023-03-21,0.2975
31,India,,Very bad mobile,Reviewed in India on 18 March 2023,3 people found this helpful,very sounds quality time mobile sound problem replacement time mobile phone resart switch permanent amazon return refund very oppo this mobile,1,2023-03-18,-0.25
32,India,,Not connecting to 5G .,Reviewed in India on 19 March 2023,,connecting always prefer connect whereas other brands connect location,4,2023-03-19,0.0
33,India,,Not expecting over all & battery life also not coming,Reviewed in India on 26 March 2023,,value money,1,2023-03-26,0.34
34,India,,Third class mobile,Reviewed in India on 15 March 2023,,didn work properly camera poor quality,1,2023-03-15,-0.4767
35,India,,This mobile is a very dirty & camera looking 5000 mobil then also so bad clearty no,Reviewed in India on 16 March 2023,,wrong product life looking worst product,1,2023-03-16,-0.802
36,India,,My use nice,Reviewed in India on 31 March 2023,,nice product super,1,2023-03-31,0.7717
37,India,,Worst phone,Reviewed in India on 10 March 2023,,phone setup even amazon technician able think twice before buying,1,2023-03-10,0.1779
38,India,,Not 🚫,Reviewed in India on 26 March 2023,,display resolution commentary,1,2023-03-26,0.0
39,India,,Zoom meeting problem,Reviewed in India on 6 March 2023,,zoom meeting join this voice mute,1,2023-03-06,0.296
40,India,🇮🇳,Camera,Reviewed in India 🇮🇳 on 20 February 2023,3 people found this helpful,camera feature worst,3,2023-02-20,-0.6249
41,India,🇮🇳,Battery capacity very bad,Reviewed in India 🇮🇳 on 21 February 2023,One person found this helpful,battery capacity very,3,2023-02-21,0.0
42,India,🇮🇳,Awaysome phone in this category,Reviewed in India 🇮🇳 on 17 March 2023,,very good phone,5,2023-03-17,0.4927
43,India,🇮🇳,Great deal at amazon,Reviewed in India 🇮🇳 on 13 March 2023,,good battery backup lite weight phone,5,2023-03-13,0.4404
44,India,🇮🇳,Very good product battery backup & camera & processor is tha very best.I like this product.,Reviewed in India 🇮🇳 on 6 March 2023,2 people found this helpful,very good product battery backup camera processor very best like this product,5,2023-03-06,0.8876
45,India,🇮🇳,Good phone,Reviewed in India 🇮🇳 on 12 March 2023,One person found this helpful,good phone,5,2023-03-12,0.4404
46,India,🇮🇳,Camera,Reviewed in India 🇮🇳 on 9 March 2023,,camera,5,2023-03-09,0.0
47,India,🇮🇳,everage everage,Reviewed in India 🇮🇳 on 27 January 2023,22 people found this helpful,very touch responsedisplay dulllow response rateless band supporting testing area,3,2023-01-27,0.4404
48,India,🇮🇳,Superb,Reviewed in India 🇮🇳 on 5 March 2023,,looking performance also good,5,2023-03-05,0.4404
49,India,🇮🇳,X,Reviewed in India 🇮🇳 on 9 February 2023,,good phone,3,2023-02-09,0.4404
50,India,,Nice,Reviewed in India on 20 February 2023,,,5,2023-02-20,0.0
51,India,,Good product,Reviewed in India on 11 February 2023,One person found this helpful,good product smooth,5,2023-02-11,0.4404
52,India,,Good phone in budjet.,Reviewed in India on 24 February 2023,2 people found this helpful,working nice using from month,5,2023-02-24,0.4215
53,India,,Nice 👍👍👍 very good 👍👍,Reviewed in India on 9 February 2023,One person found this helpful,very good,5,2023-02-09,0.4927
54,India,,Good phone,Reviewed in India on 7 February 2023,One person found this helpful,good phone without lagging normal user,5,2023-02-07,0.5739
55,India,,Nice phone,Reviewed in India on 14 February 2023,,good camera features,5,2023-02-14,0.4404
56,India,,Good,Reviewed in India on 8 February 2023,,good,5,2023-02-08,0.4404
57,India,,This is not compatible,Reviewed in India on 5 April 2023,,like single phone want return,2,2023-04-05,0.4215
58,India,,Very worthed price and superb quality,Reviewed in India on 1 February 2023,,superb excellent capabilities,5,2023-02-01,0.8316
59,India,,Oppo is brand for its quality,Reviewed in India on 10 February 2023,,oppo brand products very good,5,2023-02-10,0.4927
60,India,🇮🇳,Good,Reviewed in India 🇮🇳 on 5 April 2023,,start performance battery life charging speed,5,2023-04-05,0.0
61,India,🇮🇳,Nice,Reviewed in India 🇮🇳 on 5 April 2023,,nice,5,2023-04-05,0.4215
62,India,🇮🇳,The design is beautiful,Reviewed in India 🇮🇳 on 28 March 2023,,overall performance average what like about design camera great,5,2023-03-28,0.765
63,India,🇮🇳,Mobile bahut jaldi heat ho ja raha hai,Reviewed in India 🇮🇳 on 21 March 2023,One person found this helpful,mobile battery backup mobile heating problem,3,2023-03-21,-0.4019
64,India,🇮🇳,nice budget phone,Reviewed in India 🇮🇳 on 20 March 2023,,nice budget phone gift,3,2023-03-20,0.6908
65,India,🇮🇳,Lock very nice,Reviewed in India 🇮🇳 on 7 April 2023,One person found this helpful,osam phone number,5,2023-04-07,0.0772
66,India,🇮🇳,So so device,Reviewed in India 🇮🇳 on 23 January 2023,56 people found this helpful,this price range shouldn expect power house buyers will post pros cons device pros powerful batterygood gaming experienceloud clear volumecamera decent toocons very touch responsedisplay dulllow response rateless band supporting testing area looking budget phone however looking powerhouse please increase your budget,3,2023-01-23,0.8979
67,India,🇮🇳,Good product,Reviewed in India 🇮🇳 on 31 March 2023,,product best battery also good looking also good,5,2023-03-31,0.875
68,India,🇮🇳,Charger is not working,Reviewed in India 🇮🇳 on 19 March 2023,One person found this helpful,charger working,3,2023-03-19,0.0
69,India,🇮🇳,Worth it!,Reviewed in India 🇮🇳 on 28 March 2023,,good mobile reasonable rate,5,2023-03-28,0.4404
70,India,,Nice at this price,Reviewed in India on 4 March 2023,,speaker very nice,5,2023-03-04,0.4754
71,India,,Good,Reviewed in India on 23 February 2023,,,5,2023-02-23,0.0
72,India,,Mobile,Reviewed in India on 1 March 2023,,very good product,5,2023-03-01,0.4927
73,India,,Front camera quality low it's 8mp,Reviewed in India on 28 January 2023,9 people found this helpful,phone good front camera quality,3,2023-01-28,0.4404
74,India,,High price,Reviewed in India on 25 January 2023,2 people found this helpful,high price value money,3,2023-01-25,0.34
75,India,,VERY NICE,Reviewed in India on 3 March 2023,,very nice,5,2023-03-03,0.4754
76,India,,nice phone,Reviewed in India on 24 February 2023,One person found this helpful,nice phone,5,2023-02-24,0.4215
77,India,,Not upto the mark.,Reviewed in India on 4 April 2023,,loudspeaker very goodcharging good fastcamera much goodno wideangle camera featurescreen refresh rate goodscreen doesn disabled when calllcd screen drawback,2,2023-04-04,0.4902
78,India,,It's great deal,Reviewed in India on 20 February 2023,One person found this helpful,value money,5,2023-02-20,0.34
79,India,,Very phone,Reviewed in India on 16 February 2023,,looks exactly like iphone,5,2023-02-16,0.3612
